Key;Type;Desc;English;Spanish;Italian;;;
Quote284;Text;Description (optional);Once you know your status and your depth, and you have earned that status by your longing, God belongs to you. There are two ways to live: either you hassle and sweat and die, or you sit tight and firm in the glory of your longing, in the best of yourself and your grace, and all will come to you. When your ego conflicts, then there is trouble, because fear will come. The moment you are a victim of fear, trouble is everlasting: if one goes away another will come in.|Yogi Bhajan|37091;Una vez que conoces tu estatus y tu profundidad, y que te has ganado ese estatus gracias a tu anhelo, Dios te pertenece. Existen dos maneras de vivir: ya sea que batalles y sudes y mueras, o bien que te sientes firmemente en la gloria de tu anhelo, en lo mejor de ti mismo y de tu gracia, y todo vendrá hacia ti. Cuando tu ego entra en conflicto, entonces hay problemas, porque el miedo llegara. En el momento en que eres víctima del miedo, los problemas se vuelven eternos: si uno se va, otro viene. |Yogi Bhajan|37091;Una volta che conoscete il vostro status e la vostra profondità e avete guadagnato questo status attraverso il vostro desiderare ardentemente, Dio vi appartiene. Ci sono due modi di vivere: o vi tormentate, sudate e morite, o sedete fermi e immobili nella gloria del vostro desiderare, al meglio di voi e della vostra grazia - e tutto verrà a voi. Quando il vostro ego è nel conflitto, ci sono i problemi, perché arriverà la paura. Nel momento in cui siete vittime della paura, i problemi sono eterni: se uno va via, l'altro arriverà. |Yogi Bhajan|37091;;;
Quote285;Text;Description (optional);Loneliness, the oneness, is the ultimate reality of all times and all ingredients. All tattwas merge to be one. I urge you to create a surge to merge with one lonely being called God.|Yogi Bhajan|31865;La soledad, la unidad, es la verdad ultima de todos los tiempos y de todos los ingredientes. Todos los tattwas se fusionan para volverse uno solo. Te ruego que crees una oleada en la cual te fusiones con un ser muy solitario llamado Dios. |Yogi Bhajan|31865;La solitudine, l'unicità, è la realtà suprema di tutti i tempi e di tutti gli ingredienti. Tutti i tattwa (elementi) si fondono per essere uno. Io vi esorto a creare uno slancio a fondervi con l'essere solo chiamato Dio.|Yogi Bhajan|31865;;;
Quote286;Text;Description (optional);We have a collective strength in us, hand in hand, in friendship, in the love, and in the affection. Do not keep things to yourself and say, ‘I cannot.’ There is nothing you cannot do.|Yogi Bhajan|37169;Tenemos una fuerza colectiva dentro de nosotros, mano a mano, en la amistad, en el amor, y en el afecto. No te guardes las cosas y luego digas, «No puedo.» No hay nada que no puedas hacer. |Yogi Bhajan|37169;"Noi abbiamo una forza collettiva in noi, mano nella mano, nell'amicizia, nell'amore e nell'affetto. Non tenete le cose per voi e non dite ""Io non posso"". Non c'è nulla che non possiate fare.|Yogi Bhajan|37169";;;
Quote287;Text;Description (optional);Your soul has a fundamental property that, when aligned with your mind, gives you impact, intelligence, and effectiveness. Its fundamental property is to be saibhang—a self-illumined, aware, and radiant identity of God. It is not subject to anything. -The Mind|Yogi Bhajan|;Tu alma tiene una propiedad fundamental que es que, cuando se alinea con tu mente, te da impacto, inteligencia y efectividad. Su propiedad fundamental es saibhang – una auto-realizada, consciente, y radiante identidad de Dios. No esta sujeta a nada.- La Mente|Yogi Bhajan|;"La vostra anima ha una proprietà di base per cui, quando è allineata con la vostra mente, vi dà impatto, intelligenza ed efficacia. La sua proprietà fondamentale è di essere ""saibhang"" - un'identità auto-illuminata, consapevole e radiosa di Dio. Non è soggetta a nulla. - Libro ""La Mente""|Yogi Bhajan|";;;
Quote288;Text;Description (optional);All you have to do is uplift other people, share that oneness of that ecstasy of consciousness, that loneliness, and let people know it is good to be lonely—because “lonely” has three things in it: purity, infinity, and grace [ecstasy].|Yogi Bhajan|31865;Lo que tienes que hacer es elevar a otros, compartir esa unidad de éxtasis de la consciencia, esa soledad, y hacer saber a la gente que es bueno estar solo – porque la « soledad» tiene tres cosas: pureza, infinito y gracia (éxtasis). |Yogi Bhajan|31865;"Tutto quello che avete bisogno di fare è di elevare le altre persone e condividere quell'unicità di quell'estasi della coscienza, quella solitudine, è far capire alle persone che è positivo essere soli - perché ""soli"" ha tre aspetti in sé: purezza, infinito e grazia [estasi].|Yogi Bhajan|31865";;;
Quote289;Text;Description (optional);"There is no such thing as poverty; there is no such thing as richness; there is no such thing as beauty; there is no such thing as ugliness. These are all expressions—expressions that we communicate all the time. We communicate to integrate ourselves with each other but we have to understand that the basic nucleus of integration is the soul, the part of God within our own selves. This is the reflection of God and we have to feel united in that. |Yogi Bhajan|32787";"No existe la pobreza; no existe la riqueza; no existe la belleza; no existe la fealdad. Todas estas son expresiones – expresiones que comunicamos todo el tiempo. Comunicamos para integrarnos los unos con los otros pero tenemos que entender que el núcleo básico de la integración es el alma, la parte de Dios dentro de nosotros mismos. Ese es el reflejo de Dios y tenemos que sentirnos unidos a eso.|Yogi Bhajan|32787";"Non c'è cosa come la povertà; non c'è cosa come la ricchezza; non c'è cosa come la bellezza; non c'è cosa come la bruttezza. Queste sono tutte espressioni - espressioni che noi comunichiamo sempre. Noi comunichiamo per integrarci a vicenda con gli altri, ma dobbiamo comprendere che il nucleo di base dell'integrazione è l'anima, la parte di Dio in noi stessi. Questo è il riflesso di Dio e noi dobbiamo sentirci uniti in questo.|Yogi Bhajan|32787";;;
Quote290;Text;Description (optional);If you appreciate your life, if you appreciate your job, if you appreciate yourself, if you appreciate your surroundings—poor or rich, whatever they are—you are divine. The principle is that you are divine when you appreciate whatever you are.|Yogi Bhajan|30860;Si aprecias tu vida, si aprecias tu trabajo, si te aprecias a ti mismo, si aprecias a los que te rodean – pobres o ricos, sean lo que sean – eres divino. El principio es que eres divino cuando aprecias lo que sea que eres.|Yogi Bhajan|30860;Se apprezzate la vostra vita, se apprezzate il vostro lavoro, se apprezzate voi stessi, se apprezzate ciò che vi circonda - poveri o ricchi, qualsiasi cosa vo siate - voi siete divini. Il principio è che siete divini quando apprezzate qualsiasi cosa siete.|Yogi Bhajan|30860;;;
Quote291;Text;Description (optional);Everything should be considered as a gift of God. When anything wrong comes to you and you think it is a gift, it won’t stay with you. Do you know that? Try it sometime.|Yogi Bhajan|30868;Todo debe de ser considerado como un regalo de Dios. Cuando llega a ti algo que es malo, y que tu piensas que es un regalo, no se quedara contigo. ¿Sabias eso? Inténtalo alguna vez.|Yogi Bhajan|30868;Tutto dovrebbe essere considerato come un dono di Dio. Quando qualcosa di sbagliato arriva a voi e pensate che sia un dono, questo non rimarrà con voi. Lo sapete? Prima o poi provate a farlo. |Yogi Bhajan|30868;;;
Quote292;Text;Description (optional);Write it on your forehead, write it on your heart, on your third chakra, on your second chakra and your first chakra. You will never go short, never will you have less. God will prevail by God’s True Nature. If you have discomfort and hunger say, “God, that is Thy Virtue. Thank you for accepting me for that tragedy.” This is the attitude of gratitude. “My shackles will be removed by Thy Will.” God is so great, to Him the whole of what we have is just like a sesame seed.|Yogi Bhajan|36781;Escríbelo en tu frente, escríbelo en tu corazón, en tu tercer chakra, en tu segundo chakra y en tu primer chakra. Nunca te faltara, nunca tendrás menos. Dios prevalecerá a través de la propia Naturaleza Verdadera de Dios. Si estas incomodo y hambriento di, «Dios, esta es Tu Virtud. Gracias por aceptarme para esta tragedia.» Esa es la actitud de gratitud. «Mis cadenas serán extirpadas por Su Voluntad.» Dios es tan grandioso, para El todo lo que tenemos es solamente como una semilla de sésamo.|Yogi Bhajan|36781;"Scrivetevelo sulla fronte, scrivetevelo sul cuore, sul vostro terzo chakra, sul vostro secondo chakra o sul vostro primo chakra. Non vi mancherà mai nulla, mai avrete meno. Dio prevarrà per la Vera Natura di Dio. Se avete un disagio o avete fame, dite: ""Dio, questa è la Tua Virtù. Grazie per avermi accettato per questa tragedia"". Questa è l'attitudine della gratitudine. ""Le mie catene saranno eliminate dalla Tua Volontà"". Dio è così grande, al suo confronto tutto quello che abbiamo è solo come un seme di sesamo. |Yogi Bhajan|36781";;;
Quote293;Text;Description (optional);In our integrity, in our personality, and in our duty, we have to keep going and take along with us all those who come our way to those heights of experience to which we truly belong.|Yogi Bhajan|37465;En nuestra integridad, en nuestra personalidad, en nuestro deber, tenemos que seguir adelante y llevar con nosotros a todos aquellos que se cruzan en nuestro camino hacia esas alturas de experiencia a las cuales realmente pertenecemos.|Yogi Bhajan|37465;Nella nostra integrità, nella nostra personalità e in tutto il nostro dovere, dobbiamo andare avanti e portare con noi tutti coloro che seguono la nostra via fino alle altezze dell'esperienza cui noi apparteniamo davvero.|Yogi Bhajan|37465;;;
Quote294;Text;Description (optional);We cannot afford to be limited. We cannot afford to be negative - you cannot have the luxury of a negative thought because it will multiply in you and hurt you badly.|Yogi Bhajan|34296;No podemos permitirnos ser limitados. No podemos permitirnos ser negativos – no puedes darte el lujo de un pensamiento negativo porque se multiplicara en ti y te lastimara gravemente. |Yogi Bhajan|34296;Noi non possiamo permetterci di essere limitati. Noi non possiamo permetterci di essere negativi - voi non potete avere la lussuria di un pensiero negativo perché si moltiplicherà in voi e vi ferirà gravemente.|Yogi Bhajan|34296;;;
Quote295;Text;Description (optional);This world of ours is a transitory phase of life. It is not permanent, but we always associate ourselves with it as if we belong to it and it belongs to us. |Yogi Bhajan|1/1969;Este mundo nuestro es una fase transitoria en la vida. No es permanente, pero siempre nos asociamos a nosotros mismos con ella como si le perteneciéramos y como si ella nos perteneciera a nosotros.|Yogi Bhajan|1/1969;Questo vostro mondo è una fase transitoria della vita. Non è permanente, mai noi ci associamo sempre a esso come se vi appartenessimo e come se questo appartenesse a noi. |Yogi Bhajan|1/1969;;;
Quote296;Text;Description (optional);Some of you who are sitting here will become great Teachers of the Age of Aquarius. You must understand that you have to build your character first. Care for yourself, be kind to yourself, be compassionate to yourself. That is what you have to do.|Yogi Bhajan|35543;Algunos de ustedes aqui sentados se convertirán en grandes Maestros de la Era de Acuario. Tienen que entender que deben antes construir su carácter. Cuidarse a si mismos, ser amables con ustedes mismos, ser compasivos con ustedes mismos. Eso es lo que tienen que hacer. |Yogi Bhajan|35543;Alcuni di voi seduti qui diventeranno grandi Insegnanti dell'Era dell'Acquario. Voi dovete comprendere che dovete per prima cosa costruire il vostro carattere. Curatevi di voi stessi, siate gentili con voi stessi e siate compassionevoli con voi stessi. Questo è ciò che dovete fare.|Yogi Bhajan|35543;;;
Quote297;Text;Description (optional);To excel and enjoy life you need to enrich your mind. You must blend and use different combinations of your mental facets to support you and your intentions. When your faculties support your mental fashion and your fashion supports you, you become effective and share a legacy that inspires others. -The Mind|Yogi Bhajan|;Para tener éxito y disfrutar la vida necesitas enriquecer a tu mente. Debes de mezclar y utilizar diferentes combinaciones de tus facetas mentales para apoyarte a ti mismo y a tus intenciones. Cuando tus facultades apoyan a tus modos mentales y cuando tus modos mentales te apoyan a ti, te vuelves efectivo y compartes un legado que inspirara a los demás. - La Mente|Yogi Bhajan|;"Per eccellere e godere pienamente della vita, avete bisogno di arricchire la vostra mente. Voi dovete mescolare e usare diverse combinazioni delle vostre sfaccettature mentali per sostenere le vostre intenzioni. Quando le vostre facoltà sostengono la vostra modalità mentale e la vostra modalità mentale vi sostiene, diventate efficaci e condividete un lascito che ispira gli altri. - Libro ""La Mente""|Yogi Bhajan|";;;
Quote298;Text;Description (optional);Every aspect of the Universe is at the tip of the fingers of the woman who decides to be compassionate, kind, and caring. Just stop. Just wait. Don’t react. Just don’t react. Then the whole Universe is available to you. A woman wastes all her energy by being jealous, neurotic, talking negatively, and competing and comparing in a very negative way. These are not essential for her life.|Yogi Bhajan|37070;Cada aspecto del Universo se encuentra en la punta de los dedos de la mujer que decide ser compasiva, amorosa, y atenta. Solo detente. Solo espera. No reacciones. Solo no reacciones. Y entonces el Universo entero estará a tu disposición. Una mujer desperdicia toda su energía siendo celosa, neurótica, hablando negativamente, y compitiendo y comparando de manera negativa. Estas cosas no son esenciales para su vida.|Yogi Bhajan|37070;Ogni aspetto dell'Universo è sui polpastrelli di una donna che decide di essere compassionevole, cortese e amorevole. Semplicemente fermatevi. Semplicemente aspettate. Non reagite. Semplicemente. Non reagite. Allora l'intero Universo è disponibile per voi. Una donna spreca tutta la sua energia essendo gelosa, nevrotica, parlando negativamente, competendo e paragonano in un modo molto negativo. Ciò non è essenziale per la sua vita |Yogi Bhajan|37070;;;
Quote299;Text;Description (optional);If a person speaks a language which is effectively positive and has perfected one or two words only, that is enough for effective communication. -KRI Conscious Communication manual|Yogi Bhajan|;Si una persona habla un idioma que es efectivamente positivo y ha perfeccionado solo una o dos palabras, eso bastará para una comunicación efectiva. - KRI Manual de Comunicación Consciente|Yogi Bhajan|;Se una persona parla una lingua che è effettivamente positiva e ha perfezionato solo una o due parole, ciò è sufficiente per una comunicazione efficace. - Manuale di Comunicazione Consapevole KRI|Yogi Bhajan|;;;
Quote300;Text;Description (optional);And I ask every man who would seek peace to realize that peace doesn’t come by protests and rallies. Peace comes by peaceful actions, and so long as those born of the mother will not learn to respect the woman, there shall not be any peace on this planet. The day the woman will not be exploited on this planet, there shall be peace on this Earth.|Yogi Bhajan|26062;Pido a todo hombre que este en búsqueda de la paz que se de cuenta de que la paz no se obtiene a través de protestas y manifestaciones. La paz llega a través de acciones pacificas, y mientras que aquellos nacidos de una madre no aprendan a respetar a la mujer, no habrá paz en el planeta. El dia en que las mujeres no sean explotadas en este planeta, habrá paz en la Tierra.|Yogi Bhajan|26062;E io chiedo a ogni persona che vuole cercare la pace di realizzare che la pace non proviene dalle proteste e dai raduni. La pace proviene dalle azioni pacifiche e, fino a che chi è nato da una madre non imparerà a rispettare la donna, non ci sarà alcuna pace su questo pianeta. Il giorno che la donna non verrà sfruttata su questo pianeta, solo allora ci sarà la pace sulla Terra. |Yogi Bhajan|26062;;;
Quote301;Text;Description (optional);When you do not fall into the pit of your mental depression, when your thoughts are not impure and inferior, when you do not sell out to time and space and your temptation is not your guiding force, then the beauty, the glow and the growth which you get as an independent person is your effective godliness. And it’s not garbage. A poor one can do it, a rich one can do it, a healthy one can do it and a sick one can do it.|Yogi Bhajan|34889;Cuando no caes en el pozo de tu propia depresión mental, cuando tus pensamientos no son impuros ni inferiores, cuando no te vendes al tiempo y al espacio y que la tentación no es la fuerza que te guía, entonces la belleza, el brillo y el crecimiento que logras a nivel personal es tu divinidad efectiva. Y no es basura. El pobre puede hacerlo, el rico puede hacerlo, alguien saludable puede hacerlo y alguien enfermo puede hacerlo. |Yogi Bhajan|34889;Quando non cadete nella fossa della vostra depressione mentale, quando i vostri pensieri non sono impuri e mediocri, quando non tradite il tempo e lo spazio e la vostra tentazione non è il vostro motore, allora la bellezza, la luce e la crescita che otterrete come persona indipendente sarà la vostra devozione reale. E non è una sciocchezza. Un povero può farlo, un ricco può farlo, una persona sana può farlo e anche una persona malata può farlo.|Yogi Bhajan|34889;;;
Quote302;Text;Description (optional);Mind is to serve the breath of life, not to master the breath of life. Mind masters your ego, not your breath of life.|Yogi Bhajan|35603;La mente esta para servir al aliento de vida, no esta para dominarlo. La mente domina a tu ego, pero no a tu respiración.|Yogi Bhajan|35603;La mente deve servire il respiro di vita, non serve a dominarlo. La mente domina il vostro ego, non il vostro respiro di vita.|Yogi Bhajan|35603;;;
Quote303;Text;Description (optional);When you are blocked and you start loving a block, then that block becomes your devotee, your deity. It becomes your energy. It becomes your Goddess. It becomes your worship. It becomes your altar and an altar has no alternative. So, you create a block and a block and a block and a block and finally, you create a wall and you don’t move.|Yogi Bhajan|34296;Cuando estas bloqueado y que comienzas a amar a un bloque, entonces ese bloque se convierte en tu devoto, tu deidad. Se convierte en tu energía. Se convierte en tu Diosa. Se convierte en tu devoción. Se convierte en tu altar y un altar no tiene alternativa. Entonces, creas un bloque, y otro bloque y otro bloque y otro bloque y otro bloque y finalmente, construyes una pared y ya no te puedes mover. |Yogi Bhajan|34296;Quando siete bloccati e cominciate ad amare il blocco, allora quel blocco diventa il vostro fedele, la vostra divinità. Diventa la vostra energia. Diventa la vostra dea. Diventa la vostra venerazione. Diventa il vostro altare e un altare non ha alcuna alternativa. Così, voi create un blocco, un blocco, un blocco, un blocco e, alla fine, create un muro e voi non vi muovete.|Yogi Bhajan|34296;;;
Quote304;Text;Description (optional);One line: You will never get love if you are not willing to receive it.|Yogi Bhajan|30150;Una linea : Nunca tendras amor si no estas dispuesto a recibirlo.|Yogi Bhajan|30150;Una frase: voi non avrete mai l'amore se non sarete disposti a riceverlo.|Yogi Bhajan|30150;;;
Quote305;Text;Description (optional);Manners are your life and to understand the life is nothing but a mutual existence. That will guarantee your peace and your service and smile and will bring your prosperity.|Yogi Bhajan|35543;Los modales son tu vida y sirven también para comprender que la vida no es otra cosa que existencia mutua. Esto garantizara tu paz y tu servicio y sonrisa y te traerá prosperidad. |Yogi Bhajan|35543;I modi sono la vostra vita e comprendere che la vita non è altro che un'esistenza reciproca.  Ciò garantirà la vostra pace, il vostro servizio, il vostro sorriso e vi porterà la prosperità. |Yogi Bhajan|35543;;;
Quote306;Text;Description (optional);If you can’t control your own mind, you can’t control a thing. As a matter of rule, those who cannot rule their own mind are always in pain.|Yogi Bhajan|34731;Si no puedes controlar a tu propia mente, no puedes controlar nada. De hecho, le regla es que aquellos que no pueden dominar a sus propias mentes se encuentran en un dolor constante. |Yogi Bhajan|34731;Se non potete controllare la vostra mente, non potete controllare nulla. Riguardo la regola, chi non può governare la propria mente è sempre nel dolore.|Yogi Bhajan|34731;;;
Quote307;Text;Description (optional);"God is everywhere, waiting for you to call. His zip code is His mantra. Mantra is just like that: you take a stone and you throw it in the water, and constant waves go. That is what mantra is all about. It is to be remembered, remembered, remembered; it is to be chanted inside of you with your heart, your mind, your body. The only longing you have is to repeat it. It may be difficult to begin with, but soon God will come through and work for you.|Yogi Bhajan|35543";"Dios esta en todas partes, esperando a que lo llames. Su código postal es Su mantra. Así funciona un Mantra: toma una piedra, lánzala al agua y veras las olas constantes que se forman. De eso se trata el mantra. Es recordarse, recordarse, recordarse; debes de cantarlo en tu interior con tu corazón, tu mente, tu cuerpo. El único anhelo es el de repetirlo. Puede que sea difícil en un principio, pero pronto Dios vendrá y trabajara para ti.|Yogi Bhajan|35543";"Dio è ovunque, ad aspettare la vostra chiamata. Il Suo prefisso è il Suo mantra. Il mantra è proprio così: voi prendete una pietra, la scagliate nell'acqua e onde costanti si muovono. Il mantra è tutto ciò. Va ricordato, ricordato, ricordato; va vibrato in voi con il vostro cuore, con la vostra mente e con il vostro corpo. L'unico desiderio è di ripeterlo. All'inizio può essere difficile, ma presto Dio arriverà e lavorerà per voi.|Yogi Bhajan|35543";;;
Quote308;Text;Description (optional);The greatest weakness of the human is self-caused pain.  When a human betrays his infinity and gets into non-reality, becoming squeezed by time and space then he is nothing but living pain.|Yogi Bhajan|36851;La debilidad mas grande del ser humano es su propia capacidad de infligirse dolor. Cuando un ser humano traiciona su infinidad y se envuelve en la no-realidad, dejándose contrer por el tiempo y el espacio, entonces no es nada mas que un dolor viviente. |Yogi Bhajan|36851;La più grande debolezza dell’essere umano è il dolore auto-causato.  Quando un individuo tradisce il suo Infinito e entra nella non-realtà, viene spremuto dal tempo e dallo spazio e allora non è che un dolore vivente.|Yogi Bhajan|36851;;;
Quote309;Text;Description (optional);If you appreciate your life, if you appreciate your job, if you appreciate yourself, if you appreciate your surroundings - poor or rich, whatever they are - you are divine.|Yogi Bhajan|30860;Si aprecias tu vida, si aprecias tu trabajo, si te aprecias a ti mismo, si aprecias a los que te rodean – pobres o ricos, sean lo que sean – eres divino. |Yogi Bhajan|30860;Se voi apprezzate la vostra vita, se apprezzate il vostro lavoro, se apprezzate voi stessi, se apprezzate ciò che vi circonda, che siate poveri o ricchi, voi siete divini. |Yogi Bhajan|30860;;;
Quote310;Text;Description (optional);When you live consciously, karma doesn’t touch you.|Yogi Bhajan|31961;Cuando vives conscientemente, el karma no te toca. |Yogi Bhajan|31961;Quando voi vivete coscientemente, il karma non vi tocca.|Yogi Bhajan|31961;;;
Quote311;Text;Description (optional);The art of communication is the art of life and it is the science of living. Please remember. If you know how to talk, how to communicate, you can get anything you want without any problem.|Yogi Bhajan|30881;El arte de la comunicacion es el arte de la vida y es la ciencia de la vida. Porfavor recuerdalo. Si sabes como hablar, como comunicar, puedes conseguir todo lo que quieres sin ningun problema.|Yogi Bhajan|30881;L'arte della comunicazione è l'arte della vita ed è la scienza del vivere. Per favore ricordate. Se voi sapete come parlare, come comunicare, potete ottenere tutto quello che volete senza alcun problema.|Yogi Bhajan|30881;;;
Quote312;Text;Description (optional);First, we identify ourselves: We are, we are. Second, our words should be such that they should cool down any fire, the desperation, the depression of the person. Third, we must have the power to uplift the soul and serve the person, to be graceful. And finally, we must stand pure. |Yogi Bhajan|35266;Primero, nos identificamos: Yo soy, Yo soy. Segundo, nuestras palabras deben ser tales que logren apaciguar todo el fuego, toda la desesperación y la depresión de una persona. Tercero, debemos poder elevar el alma y servir a la persona, debemos poder estar en gracia. Y finalmente, debemos mantenernos puros. |Yogi Bhajan|35266;In primo luogo, ci identifichiamo: Noi siamo, noi siamo. In secondo luogo, le nostre parole dovrebbero essere tali da sopire ogni incendio, la disperazione, la depressione della persona. In terzo luogo, dobbiamo avere il potere di elevare l'anima e servire la persona, per essere aggraziati. E, infine, dobbiamo essere puri.|Yogi Bhajan|35266;;;
Quote313;Text;Description (optional);Whatever you relate to in ego will bring you bad consequences. Whatever you relate to in consciousness will bring you happiness, joy and love. |Yogi Bhajan|30140;A lo que sea que te relaciones desde tu ego te traerá malas consecuencias. A lo que sea que te relaciones desde la consciencia te traerá felicidad, dicha y amor. |Yogi Bhajan|30140;A qualsiasi cosa voi vi relazionerete in ego, vi porterà conseguenze negative. A qualsiasi cosa voi vi relazionerete nella coscienza, vi porterà felicità, gioia e felicità.|Yogi Bhajan|30140;;;
Quote314;Text;Description (optional);You mind will always tell you not to obey because if you start obeying something else, you cannot obey your mind. |Yogi Bhajan|29801;Tu mente siempre te dirá que no obedezcas porque si comienzas a obedecer a algo mas, no puedes obedecer a tu mente. |Yogi Bhajan|29801;La vostra mente vi dirà sempre di non obbedire perché se comincerete a obbedire a qualcos'altro, non potrete obbedire alla vostra mente.|Yogi Bhajan|29801;;;
Quote315;Text;Description (optional);Appreciation is an art and a lifestyle and a source of happiness and fulfillment. It’s called gratitude - an attitude of gratitude.|Yogi Bhajan|30860;La apreciación es un arte y un estilo de vida y una fuente de felicidad y de realización. Se le llama gratitud – una actitud de gratitud. |Yogi Bhajan|30860;L'apprezzamento è un'arte, uno stile di vita e una fonte di felicità e appagamento. È chiamata gratitudine, un'attitudine di gratitudine.|Yogi Bhajan|30860;;;
Quote316;Text;Description (optional);At this time your mental projection in peace can change the warring minds. Peace has a price - the head and heart of all of us. Let us pray.|Yogi Bhajan|32669;En estos tiempos tu proyección mental hacia la paz puede cambiar a las mentes en conflicto. La paz tiene un precio – la cabeza y el corazón de todos nosotros. Recemos.|Yogi Bhajan|32669;In questo momento la vostra proiezione mentale nella pace può cambiare le menti in conflitto. La pace ha un prezzo - la testa e il cuore di tutti noi. Preghiamo. |Yogi Bhajan|32669;;;
Quote317;Text;Description (optional);"Life has to be decided by dharma. Righteous duty is called dharma, the call of duty to righteous action. The right of self-defense is a Dharma, it is not a war; it is not a fight.|Yogi Bhajan|30040";"La vida debe ser decidida por el dharma. Al deber correcto se le llama dharma, el llamado del deber hacia la acción correcta. El derecho de defenderse es un Dharma, no es una guerra; no es una lucha. |Yogi Bhajan|30040";La vita deve essere decisa dal dharma. Il dovere retto è chiamato dharma, la chiamata all'impegno nei confronti dell'azione retta. Il diritto all'autodifesa è un dharma, non è una guerra, non è un combattimento.|Yogi Bhajan|30040;;;
Quote318;Text;Description (optional);The mantra of the Age of Aquarius is “Keep Up.” Help keep everybody up. When you never let yourself down and never let anybody else down, God shall serve you. He shall never let you down. |Yogi Bhajan|34140;El mantra de la Era de Acuario es «Sostente.» Ayuda a sostener a todos. Cuando nunca te dejas caer y que nunca dejas caer a nadie mas, Dios te servirá. Nunca te dejara caer. |Yogi Bhajan|34140;"Il mantra dell'Era dell'Acquario è ""Keep Up"" (lett. ""Non mollate""). Aiutate tutti a non mollare. Quando non vi consentite di mollare e non permettete a nessun altro di mollare, Dio vi servirà. Lui non vi permetterà mai di mollare.|Yogi Bhajan|34140";;;
Quote319;Text;Description (optional);The sign of nobility is that it has a deep effect in relationship with any person one comes across. They say nobility is a virtue which affects every soul. It is a virtue which affects every soul just as innocence affects every heart.|Yogi Bhajan|28673;El signo de la nobleza es que tiene un profundo efecto en la relación con cualquier persona que se cruce en nuestro camino. Se dice que la nobleza es una virtud que afecta a todas las almas al igual que la inocencia afecta a cada corazón. |Yogi Bhajan|28673;Il segno della nobiltà è che ha un effetto profondo nella relazione con qualsiasi persona che si incontra. Dicono che la nobiltà è una virtù che tocca ogni anima. È una virtù che influenza ogni anima proprio come l'innocenza che tocca ogni cuore.|Yogi Bhajan|28673;;;
Quote320;Text;Description (optional);We work hard, we propose, we process, and we project it. These three things are essential. If we do these three right, prosperity shall be there.|Yogi Bhajan|33480;Trabajamos duro, proponemos, procesamos, y proyectamos. Estas tres cosas son esenciales. Si realizamos estas tres cosas correctamente, la prosperidad estará ahí. |Yogi Bhajan|33480;Noi lavoriamo duramente, noi proponiamo, noi portiamo avanti e noi lo proiettiamo. Queste tre cose sono essenziali. Se noi facciamo queste tre cose correttamente, la prosperità sarà qui.|Yogi Bhajan|33480;;;
Quote321;Text;Description (optional);"The attitude of gratitude is yoga. Ingratitude is “unyoga,” like “uncola.” Where gratitude is, there is yoga. Where there is ingratitude, yoga is gone. That mind which does not live in gratitude is just like a junkyard. There are great cars there, but they don’t work; they are useless, because they are junk. What are you without gratitude?|Yogi Bhajan|27309";"La actitud de gratitud es yoga. La ingratitud es «des-yoga,» como «uncola.» Donde hay gratitud, hay yoga. Donde hay ingratitud, se ha ido el yoga. Aquella mente que no viva en gratitud es como un chatarrería. Hay autos magníficos ahí, pero no funcionan; no sirven para nada, porque son escombro. ¿Que eres tu sin gratitud?|Yogi Bhajan|27309";"L'attitudine della gratitudine è Yoga. L'ingratitudine è ""non-Yoga"", come la non-cola (Yogi Bhajan fa l'esempio di una bibita). Dove c'è gratitudine, c'è Yoga. Dove c'è ingratitudine, lo Yoga se ne è andato. La mente che non vive nella gratitudine è proprio come uno sfasciacarrozze. Ci sono grandi automobili lì, ma non camminano; sono inutili, perché sono rottami. Cosa siete voi senza gratitudine?|Yogi Bhajan|27309";;;
Quote322;Text;Description (optional);"You cannot live under a camouflage. You have to live openly, honestly, brightly, and forthrightly. Your words should be so strong that they affect every heart; your truth should be so pure that it lifts a person’s soul to the heights.|Yogi Bhajan|37465";"No puedes vivir camuflageado. Tienes que vivir abiertamente, honestamente, brillantemente, y francamente. Tus palabras deberán ser tan fuertes que afecten a cada corazón; tu verdad deberá ser tan pura que eleve el alma de una persona hacia las alturas. |Yogi Bhajan|37465";"Voi non potete vivere camuffati. Voi dovete vivere apertamente, onestamente, radiosamente e schiettamente. Le vostre parole dovrebbero essere così forti da colpire ogni cuore; la vostra verità dovrebbe essere così pura da elevare l'anima di una persona fino alle vette.|Yogi Bhajan|37465";;;
Quote323;Text;Description (optional);In this life there are challenges. How much sweetness is in you and how much of that sweetness are you willing to share? How much? How many times have you become one with each other [in consciousness] in the name of God? How much closeness have you produced? How relaxed are you when somebody makes a mistake? Where is your kindness and compassion?|Yogi Bhajan|37138;En esta vida hay retos. ¿Cuanta dulzura hay en ti y cuanta de esa dulzura estas dispuesto a compartir? ¿Cuanta? ¿Cuantas veces se han unido los unos con los otros (en consciencia) en el nombre de Dios? ¿Cuanta cercanía has propiciado? ¿Que tan relajado permaneces cuando alguien se equivoca? ¿Donde están tu bondad y tu compasión?|Yogi Bhajan|37138;"In questa vita ci sono delle sfide. Quanta dolcezza in voi e quanta di questa dolcezza siete disposti a condividere? Quanta? Quante volte siete diventati ""uno"" con l'altro (nella coscienza) nel nome di Dio? Quanta intimità avete creato? Quanto rilassati siete quando qualcuno compie un errore? Dove sono la vostra gentilezza e la vostra compassione?|Yogi Bhajan|37138";;;
